2021/07/21 14:10:40 [error] 5732#2228: *11612 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /?_RSSID_=0791a097-4853-44fb-aec9-e8f323d6eddd HTTP/1.0", upstream: "fastcgi://127.0.0.1:10050", host: "wpvmg.local", referrer: "http://localhost:3000/?_RSSID_=0791a097-4853-44fb-aec9-e8f323d6eddd"
2021/07/21 14:10:40 [error] 5732#2228: *11614 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /?_RSSID_=755b71d2-d617-4e2f-a8f1-2c94d15e59e3 HTTP/1.0", upstream: "fastcgi://127.0.0.1:10051", host: "wpvmg.local", referrer: "http://localhost:3000/?_RSSID_=755b71d2-d617-4e2f-a8f1-2c94d15e59e3"
2021/07/21 14:10:40 [error] 5732#2228: *11614 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /?_RSSID_=755b71d2-d617-4e2f-a8f1-2c94d15e59e3 HTTP/1.0", upstream: "fastcgi://php", host: "wpvmg.local", referrer: "http://localhost:3000/?_RSSID_=755b71d2-d617-4e2f-a8f1-2c94d15e59e3"
2021/07/21 14:10:40 [error] 5732#2228: *11612 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /?_RSSID_=0791a097-4853-44fb-aec9-e8f323d6eddd HTTP/1.0", upstream: "fastcgi://127.0.0.1:10051", host: "wpvmg.local", referrer: "http://localhost:3000/?_RSSID_=0791a097-4853-44fb-aec9-e8f323d6eddd"
2021/07/21 14:10:40 [error] 5732#2228: *11666 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "wpvmg.local", referrer: "http://localhost:3000/wp-admin/profile.php"
2021/07/21 14:11:01 [error] 5732#2228: *11682 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /?_RSSID_=0791a097-4853-44fb-aec9-e8f323d6eddd HTTP/1.0", upstream: "fastcgi://php", host: "wpvmg.local", referrer: "http://localhost:3000/?_RSSID_=0791a097-4853-44fb-aec9-e8f323d6eddd"
2021/07/21 14:11:01 [error] 5732#2228: *11683 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /?_RSSID_=755b71d2-d617-4e2f-a8f1-2c94d15e59e3 HTTP/1.0", upstream: "fastcgi://php", host: "wpvmg.local", referrer: "http://localhost:3000/?_RSSID_=755b71d2-d617-4e2f-a8f1-2c94d15e59e3"
2021/07/21 14:11:01 [error] 5732#2228: *11684 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /?_RSSID_=b04d4cfc-8076-48ca-be9a-436f07c8821a HTTP/1.0", upstream: "fastcgi://php", host: "wpvmg.local", referrer: "http://localhost:3000/?_RSSID_=b04d4cfc-8076-48ca-be9a-436f07c8821a"
2021/07/21 14:11:05 [error] 5732#2228: *11686 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.0", upstream: "fastcgi://php", host: "wpvmg.local", referrer: "http://localhost:3000/"
2021/07/21 15:18:07 [error] 5732#2228: *21872 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.0", upstream: "fastcgi://127.0.0.1:10051", host: "wpvmg.local", referrer: "http://localhost:3000/service/"
2021/07/22 14:18:22 [error] 5732#2228: *30742 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /industries/ HTTP/1.0", upstream: "fastcgi://127.0.0.1:10050", host: "wpvmg.local", referrer: "http://localhost:3000/industries/"
2021/07/22 20:37:52 [error] 5732#2228: *40076 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /landingpage/asd/?_RSSID_=b04d4cfc-8076-48ca-be9a-436f07c8821a HTTP/1.0", upstream: "fastcgi://127.0.0.1:10050", host: "wpvmg.local", referrer: "http://localhost:3000/landingpage/asd/?_RSSID_=b04d4cfc-8076-48ca-be9a-436f07c8821a"
2021/07/22 20:37:52 [error] 5732#2228: *40078 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /landingpage/asd/?_RSSID_=9a2a8e61-d4a5-441a-8baa-03bffeae333b HTTP/1.0", upstream: "fastcgi://127.0.0.1:10050", host: "wpvmg.local", referrer: "http://localhost:3000/landingpage/asd/?_RSSID_=9a2a8e61-d4a5-441a-8baa-03bffeae333b"
2021/07/22 20:39:43 [error] 5732#2228: *40298 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /landingpage/asd/?_RSSID_=b04d4cfc-8076-48ca-be9a-436f07c8821a HTTP/1.0", upstream: "fastcgi://127.0.0.1:10051", host: "wpvmg.local", referrer: "http://localhost:3000/landingpage/asd/?_RSSID_=b04d4cfc-8076-48ca-be9a-436f07c8821a"
2021/07/22 23:01:11 [error] 5732#2228: *50231 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /casestudies/ HTTP/1.0", upstream: "fastcgi://127.0.0.1:10050", host: "wpvmg.local", referrer: "http://localhost:3000/casestudies/"
2021/07/22 23:02:38 [error] 5732#2228: *50411 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /contact-us/ HTTP/1.0", upstream: "fastcgi://127.0.0.1:10051", host: "wpvmg.local", referrer: "http://localhost:3000/contact-us/"
